rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
15065,S,Hope Islands Reef (East),145.46,-15.74,0.000385587,0.08201758,2,1,1998
15066,S,U/N Reef,145.4,-15.94,0.000102893,0.050490589,3,1,1998
15069,S,U/N Reef,145.44,-16,9.31E-05,0.050386124,3,1,1998
15070,S,U/N Reef,145.62,-15.5,0.001019058,0.158431937,5,0,1998
15077,S,U/N Reef,145.65,-15.56,0.000507299,0.122002649,5,0,1998
15082,S,Emily Reef,145.63,-15.61,0.002374988,0.23620567,5,0,1998
15086,S,Cairns Reef,145.5,-15.69,0.004854056,0.620872033,2,1,1998
15086,S,Cairns Reef,145.5,-15.69,0.004854056,0.620872033,3,1,1998
15089,S,Endeavour Reef,145.58,-15.78,0.001143417,0.206187805,3,1,1998
15093,S,Pickersgill Reef,145.57,-15.88,0.001349961,0.162048335,5,0,1998
15095,S,Evening Reef,145.66,-15.91,0.000760374,0.108362058,5,0,1998
16002,S,U/N Reef,145.47,-16.06,0.000100281,0.05247282,2,1,1998
16005,S,Black Rock Reef,145.49,-16.25,4.21E-06,0.008926009,2,1,1998
16006,S,Snapper Reef,145.5,-16.3,0.000119833,0.099920493,3,1,1998
16006,S,Snapper Reef,145.5,-16.3,0.000119833,0.099920493,2,1,1998
16014,S,NA,145.71,-16.03,NA,NA,4,1,1998
16019,S,St Crispin Reef,145.84,-16.11,0.002561956,0.246162069,3,1,1998
16020,S,NA,145.67,-16.13,NA,NA,5,0,1998
16023,S,Rudder Reef,145.7,-16.19,0.003715322,0.275753362,5,0,1998
16028,S,Low Islands Reef,145.56,-16.39,0.000216055,0.089839764,1,1,1998
16029,S,Batt Reef,145.77,-16.42,0.010380281,0.433315117,3,1,1998
16038,S,Egmont Reef,145.54,-16.53,2.73E-06,0.006708378,2,1,1998
16039,S,Alexandra Reefs,145.5,-16.55,0.000587369,0.231818451,2,1,1998
16046,S,Upolu Reef,145.94,-16.67,0.000981274,0.142173261,4,1,1998
16047,S,Double Island Reef,145.68,-16.73,8.06E-05,0.042154473,2,1,1998
16049,S,Green Island Reef,145.99,-16.77,0.001622689,0.177607616,3,1,1998
16049,S,Green Island Reef,145.99,-16.77,0.001622689,0.177607616,2,1,1998
16055,S,Little Fitzroy Island Reef,146,-16.92,2.55E-05,0.025029266,1,1,1998
16063,S,Euston Reef,146.25,-16.69,6.89E-05,0.032751607,3,1,1998
16064,S,Arlington Reef,146.05,-16.7,0.008480975,0.518379434,4,1,1998
16064,S,Arlington Reef,146.05,-16.7,0.008480975,0.518379434,3,1,1998
16071,S,Moore Reef,146.21,-16.87,0.002917686,0.230635482,5,0,1998
16073,S,Elford Reef,146.25,-16.92,0.00249045,0.279523484,5,0,1998
16074,S,Briggs Reef,146.21,-16.94,4.87E-05,0.030001844,3,1,1998
16074,S,Briggs Reef,146.21,-16.94,4.87E-05,0.030001844,4,1,1998
16080,S,Korea Reef,145.55,-16.56,2.69E-05,0.019935647,2,1,1998
17001,A,Sudbury Reef (No 1),146.22,-17.02,0.007619953,0.558691369,3,1,1998
17004,S,Scott Reef,146.18,-17.07,0.00139448,0.138727545,3,1,1998
17004,S,Scott Reef,146.18,-17.07,0.00139448,0.138727545,2,1,1998
17004,S,Scott Reef,146.18,-17.07,0.00139448,0.138727545,4,1,1998
17009,S,NA,146.01,-17.15,NA,NA,1,1,1998
17009,S,NA,146.01,-17.15,NA,NA,2,1,1998
17010,S,Flora Reef,146.29,-17.19,0.000747894,0.106692226,3,1,1998
17011,S,Coates Reef,146.37,-17.2,0.000317282,0.066492192,2,1,1998
17012,A,Normanby-Mabel Reef,146.08,-17.21,4.56E-05,0.038275652,2,1,1998
17012,A,Normanby-Mabel Reef,146.08,-17.21,4.56E-05,0.038275652,2,1,1998
17012,B,Jones Patch,146.08,-17.22,3.16E-06,0.006701969,1,1,1998
17013,S,Round-Russell Reef,146.09,-17.23,5.89E-05,0.058458697,2,1,1998
17013,S,Round-Russell Reef,146.09,-17.23,5.89E-05,0.058458697,1,1,1998
17013,S,Round-Russell Reef,146.09,-17.23,5.89E-05,0.058458697,1,1,1998
17017,S,Gibson Reef,146.36,-17.3,0.002993186,0.255497267,3,1,1998
17017,S,Gibson Reef,146.36,-17.3,0.002993186,0.255497267,2,1,1998
17018,S,NA,146.42,-17.38,NA,NA,4,1,1998
17018,S,NA,146.4,-17.4,NA,NA,2,1,1998
17024,S,Peart Reef,146.39,-17.49,0.001316961,0.142251902,3,1,1998
17034,S,Feather Reef,146.38,-17.53,0.001237589,0.138934208,2,1,1998
17035,S,Nathan Reef,146.52,-17.53,0.00330987,0.28645963,3,1,1998
17035,S,Nathan Reef,146.52,-17.53,0.00330987,0.28645963,4,1,1998
17037,S,Hall-Thompson Reef,146.45,-17.61,0.00316748,0.271780728,4,1,1998
17042,S,Adelaide Reef,146.47,-17.66,0.003694063,0.303935621,3,1,1998
17043,A,Jessie-Kent Reef,146.18,-17.68,6.62E-05,0.055169021,1,1,1998
17043,B,Bresnahan Reef,146.17,-17.68,1.15E-05,0.017881168,2,1,1998
17043,C,Hutchison Reef,146.17,-17.67,1.85E-05,0.029460034,3,1,1998
