symbol,date,price
Dol_Sum,Nov 2008,9.462301
Dol_Sum,Dec 2008,9.148672
Dol_Sum,Jan 2009,9.806079
Dol_Sum,Feb 2009,9.129648
Dol_Sum,Mar 2009,8.90024
Dol_Sum,Apr 2009,9.227394
Dol_Sum,May 2009,10.693651
Dol_Sum,Jun 2009,10.516355
Dol_Sum,Jul 2009,9.873152
Dol_Sum,Aug 2009,9.718373
Dol_Sum,Sep 2009,9.947736
Dol_Sum,Oct 2009,10.025184
Dol_Sum,Nov 2009,8.789422
Dol_Sum,Dec 2009,9.003546
Dol_Sum,Jan 2010,8.574734
Dol_Sum,Feb 2010,9.062212
Dol_Sum,Mar 2010,9.50642
Dol_Sum,Apr 2010,9.342049
Dol_Sum,May 2010,10.42361
Dol_Sum,Jun 2010,10.650803
Dol_Sum,Jul 2010,10.879116
Dol_Sum,Aug 2010,10.317295
Dol_Sum,Sep 2010,10.115809
Dol_Sum,Oct 2010,10.331228
Dol_Sum,Nov 2010,9.209253
Dol_Sum,Dec 2010,8.621485
Dol_Sum,Jan 2011,8.476942
Dol_Sum,Feb 2011,8.637384
Dol_Sum,Mar 2011,8.877976
Dol_Sum,Apr 2011,8.68586
Dol_Sum,May 2011,10.002123
Dol_Sum,Jun 2011,9.979463
Dol_Sum,Jul 2011,9.847459
Dol_Sum,Aug 2011,9.902359
Dol_Sum,Sep 2011,10.345772
Dol_Sum,Oct 2011,10.044753
Dol_Sum,Nov 2011,9.731606
Dol_Sum,Dec 2011,8.352696
Dol_Sum,Jan 2012,9.681288
Dol_Sum,Feb 2012,9.705043
Dol_Sum,Mar 2012,9.128757
Dol_Sum,Apr 2012,9.566858
Dol_Sum,May 2012,10.004594
Dol_Sum,Jun 2012,10.398486
Dol_Sum,Jul 2012,11.166761
Dol_Sum,Aug 2012,10.92055
Dol_Sum,Sep 2012,10.337074
Dol_Sum,Oct 2012,9.949616
Dol_Sum,Nov 2012,9.45706
Dol_Sum,Dec 2012,8.923058
Dol_Sum,Jan 2013,9.150008
Dol_Sum,Feb 2013,8.457692
Dol_Sum,Mar 2013,8.470042
Dol_Sum,Apr 2013,9.163783
Dol_Sum,May 2013,10.534555
Dol_Sum,Jun 2013,10.715983
